index,address_original,address,price,type,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,description,_createdAt
377,"162 Đường Nguyễn Thượng Hiền, 5, Phú Nhuận, Hồ Chí Minh","162 Đường Nguyễn Thượng Hiền, Phường 5, Phú Nhuận, Thành phố Hồ Chí Minh",11800000000,sale,other,3,12.9,106.7,40.9,4,7,5,certificate,other,"162 Nguyễn Thượng Hiền 11.8 tỷ, Phường 05, Phú Nhuận Nhà 2 Mặt Tiền Trước - Sau. Ngay sát ngã tư trung tâm Chợ buôn bán sầm uất nhộn nhịp suốt ngày đêm. -Một trệt ba lầu, btct xây dựng kiên cố rất đẹp và sang trọng, 6pn căn hộ dv và một mặt bằng đằng trước cho thuê Spa + Một Mặt tiền và một mặt hẻm phía sau thuận tiện để xe. Ban công trước sau Đang cho thuê căn hộ dv 28.5tr/tháng, hợp đồng 6 năm, còn 2 năm.",2025-10-09T00:15:50.906Z
378,"256/7 Đường Phan Huy Ích, 12, Gò Vấp, Hồ Chí Minh","256/7 Đường Phan Huy Ích, Phường 12, Gò Vấp, Thành phố Hồ Chí Minh",23000000000,sale,other,6,32.5,514.6,185.6,5,5,5,certificate,other,"Gò Vấp-Phan Huy Ích- Khu Trung Tâm Gần Siêu Thị E-Mart- 5 Tầng- Hẻm Xe Hơi-23 Tỷ - địa chỉ 256/7 Phan Huy Ích, Phường 12, Gò Vấp - 5tầng lầu xây chắc chắn kiên cố 1 đời chủ, ngôi nhà phong thuỷ tốt, gia đình gia chủ trí thức, làm ăn phát đạt, con cái học cao - Nằm trong khu Trung Tâm Gần Siêu Thị E-Mart - ngang khủng 6x35 - 5 Tầng- Hẻm Xe Hơi -Giá bán: 23 Tỷ thương lượng + Pháp lý sạch, hoàn công đủ, công chứng nhanh.",2025-10-09T00:03:46.750Z
379,"132/5/26 Mã Lò, Bình Trị Đông A, Bình Tân, Hồ Chí Minh","132/5/26 Mã Lò, Bình Trị Đông A, Bình Tân, Thành phố Hồ Chí Minh",4300000000,sale,alley_house,4.19,12,73,50.7,3,2,3,certificate,other,"Bán nhà tại 132/5/26 Mã Lò, P.Bình Trị Đông A, Q.Bình Tân, TP.HCM – Diện tích: 50,7 m2 Nhà gồm 1 trệt, 2 lầu, 3 phòng ngủ,2 vệ sinh Giá bán: 4 tỷ 300 triệu VNĐ (có thương lượng)",2025-10-08T10:14:20.732Z
380,"47 Tô Ngọc Vân, Linh Tây, Thủ Đức, Hồ Chí Minh","47 Tô Ngọc Vân, Linh Tây, Thủ Đức, Thành phố Hồ Chí Minh",7500000000,sale,other,2.13,12.15,33.66,40.92,1,1,1,certificate,other,"Bán nhà mặt tiền tại 47 Tô Ngọc Vân, P.Linh Tây, Thành phố Thủ Đức, TP.HCM Diện tích 40.92m2, nở hậu 5.05m Nhà trống, đang cho thuê kinh doanh, chưa ngăn phòng Đường trước nhà rộng rãi Giá bán: 7 tỷ 500 triệu đồng (có thương lượng)",2025-10-08T10:10:18.433Z
381,"121 Võ Thị Sáu, Võ Thị Sáu, 3, Hồ Chí Minh","121 Võ Thị Sáu, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh",1.85E+11,sale,other,13.5,23.6,600.8,314.6,4,1,1,certificate,other,"Bán nhà 121 Võ Thị Sáu, Phường Xuân Hoà (P. Võ Thị Sáu cũ), Quận 3 - Diện tích CN: 314,6m2 ( Ngang 13,5m x Dài 23.6m ) - Giá bán: 185 tỷ ( 502tr/m2 ) - Kết cấu: 2 Tầng - Chỉ tiêu XD: 1 Hầm + 7-10 Tầng. - Vị trí đẹp, kinh doanh sầm uất. - Đang cho thuê khoán ổn định ( CF): 7000$/ tháng. Hết 5 năm tái kí, đã thuê được 10 năm rồi - Pháp lý: Sổ hồng riêng",2025-10-08T09:14:14.889Z
382,"103/22 Trần Thái Tông, 15, Tân Bình, Hồ Chí Minh","103/22 Trần Thái Tông, Phường 15, Tân Bình, Thành phố Hồ Chí Minh",7500000000,sale,alley_house,4.06,18.18,109.7,90.4,2,1,1,certificate,other,"Bán nhà tạ103/22 Trần Thái Tông, P.15, Q.Tân Bình, TP.HCM Diện tích: 90.4m2 Nhà gồm 1 trệt, 1 gác lửng, nằm trong hẻm nội bộ rộng 5m, ô tô ra vào thuận tiện. Khu dân cư cao cấp, yên tĩnh, gần chợ, siêu thị, trường học. Sổ hồng chính chủ. Giá bán: 7,5 tỷ TL",2025-10-08T09:12:44.497Z
383,"29 Hà Huy Giáp, Thạnh Xuân, 12, Hồ Chí Minh","29 Hà Huy Giáp, Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",5550000000,sale,other,4,30,0,120,1,1,1,certificate,other,"Đất bán : 120m² (Full thổ cư) Sổ vuông đẹp Đường rộng hai làn xe Thích hợp vừa ở vừa làm cty, văn phòng cho thuê, kho, làm nhà trẻ, Spa, phòng gym … Có sân để xe hơi. Tiện ích xung quanh không thiếu thứ gì : Chợ, Winmart, Bách Hóa Xanh, trường học chỉ vài bước chân Vị trí : Mặt tiền nhựa, gần Hà Huy Giáp, Q.12 Giá chỉ: 5tỷ 550 triệu Ngân hàng hỗ trợ nếu khách hàng có nhu cầu vay, Mặt tiền nhựa hai làn xe, thích hợp ở, làm cty, văn phòng cho thuê, mở nhà trẻ, phòng tập Gym...",2025-10-08T08:34:55.486Z
384,"95/19C Lê Văn Lương, Tân Kiểng, 7, Hồ Chí Minh","95/19C Lê Văn Lương, Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh",3300000000,sale,alley_house,2.9,9.7,56.2,28.1,2,2,2,certificate,other,"Bán nhà tại 95/19C Lê Văn Lương, P.Tân Kiểng, Q.7, TP.HCM – Diện tích: 28.1m2 (ngang 2.9m, dài 9.7m) Đường vào nhà hẻm 95 xe hơi vào được, đến nhà hẻm nhỏ tầm 30m vô đến nhà Kết cấu: 1 trệt, 1 lầu, 2pn, 2wc Giá bán: 3 tỷ 300 triệu VNĐ (có thương lượng)",2025-10-08T08:32:16.600Z
385,"Phạm Đăng Giảng, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","Phạm Đăng Giảng, Bình Hưng Hòa, Bình Tân, Thành phố Hồ Chí Minh",4200000000,sale,alley_house,4.2,15.8,0,65.7,1,1,1,certificate,other,"Bán lô đất 1/ hẻm 227 Phạm Đăng Giảng, Bình Tân. - Hẻm xe hơi, thông ra ĐS 3 - Kênh Tham Lương chỉ 5’. Tương lai 2 MT (mặt sau dự phóng đường 12m). - Diện tích 66m2, thổ cư 46m2. KDC hiện hữu nhà ở kín, gần chợ - trường học & các tiện ích khác. Thuận tiện xây dựng nhà mới 4-5 tấm. - Giá bán: 4.2 Tỷ TL",2025-10-08T08:30:03.833Z
386,"121/4T Đường Trần Bình Trọng, 2, 5, Hồ Chí Minh","121/4T Đường Trần Bình Trọng, Phường 2, Quận 5, Thành phố Hồ Chí Minh",9780000000,sale,other,4,12.6,0,56.6,4,5,4,certificate,furnished,"Bán nhà 121/4T Trần Bình Trọng, phường 2, quận 5 Diện tích ngang 4m 12.6m . Nhà hình chữ z , nhà được 2 mặt tiền hẻm Kết cấu 1 trệt 2 lầu + sân thượng, mái BTCT . Nhà được 4 phòng ngủ lớn , 5 vệ sinh trong phòng , tổng diện tích sử dụng 56,6m nhà đã hoàng công đầy đủ Khu dân cư hiện hữu, yên tĩnh, giáp Quận 1,3,8,10 nhà trong khu vực trung tâm Quận 5",2025-10-08T08:01:29.308Z
387,"120/53 Trần Hưng Đạo, Phạm Ngũ Lão, 1, Hồ Chí Minh","120/53 Trần Hưng Đạo, Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh",6000000000,sale,alley_house,3.14,11,71.6,34.8,3,2,1,certificate,unfurnished,"Bán nhà tại 120/53 Trần Hưng Đạo, P.Phạm Ngũ Lão, Q.1, TP.HCM – Diện tích: 34.8m2 – Kết cấu: 1 trệt, 2 lầu, hiện chưa ngăn phòng – Giá bán: 6 tỷ (có thương lượng)",2025-10-08T07:57:18.938Z
388,"Đường TL 41, Thạnh Lộc, 12, Hồ Chí Minh","Đường TL 41, Thạnh Lộc, Quận 12, Thành phố Hồ Chí Minh",8.380.000.000.000.000,sale,other,5.26,29.06,0,103.2,1,1,1,certificate,other,"Bán đất thổ cư 2 mặt tiền tại Phường Thạnh Xuân, Quận 12 - Diện tích: 103.2m2 (5.26 x 29.0m) - Đất 2 MT trước/sau, đã tách riêng 2 sổ 2 mặt - Có sẵn GPXD 5 Tầng, Trệt-Lửng-2Lầu-Sân thượng Giá: 8 tỷ 380tr TL - Lô mặt tiền TL29 : 4T290 bớt lộc - Lô mặt tiền thông TL41 : 4Tỷ090",2025-10-08T07:57:11.647Z
389,"78/9/7 Tân Hoà Đông, 14, 6, Hồ Chí Minh","78/9/7 Tân Hoà Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh",3750000000,sale,alley_house,3.66,6.55,42.2,24.8,2,2,2,certificate,other,"Bán nhà tại 78/9/7 đường Tân Hoà Đông, Phường 14, Quận 6 Diện tích: 3.66 x 6.55m, nở hậu 3.95m, tổng diện tích 24.8m2 Kết cấu: 1 trệt, 1 lầu, gồm 2 phòng ngủ, 2 nhà vệ sinh Vị trí thuận tiện: gần chợ Phú Lâm, vòng xoay Phú Lâm, trường học, siêu thị Sổ hồng chính chủ Giá bán: 3.75 tỷ TL",2025-10-08T07:37:33.977Z
390,"4A/4/44 Nguyễn Văn Thương, 25, Bình Thạnh, Hồ Chí Minh","4A/4/44 Nguyễn Văn Thương, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh",13000000000,sale,other,3.65,14.24,167.6,47.3,4,5,4,certificate,other,"Bán nhà 4a/4/44 Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh - Diện tích 3,65m14.24m, CN 47,3m2 - Nhà 1 trệt, 3 tấm, 1 lửng, 4 phòng. - Mặt tiền đường nhựa ô tô vào tận nhà - Giấy tờ đầy đủ Giá 13 tỷ TL",2025-10-08T07:17:21.890Z
391,"184/2C Lý Chính Thắng, 9, 3, Hồ Chí Minh","184/2C Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh",4600000000,sale,other,2.33,7.74,35.4,17.7,2,2,3,certificate,other,"Nhà bán tại 184/2C Lý Chính Thắng, P.9, Q.3, TP.HCM - Diện tích: 17.7m2 - Hướng: Tây - Sổ hồng riêng - Hiện trạng: Nhà 1 trệt 3 lầu (Lầu 2 và 3 chưa có thông tin trên sổ), gồm 3 phòng ngủ, 2 vệ sinh - Giá bán: 4,6 tỷ TL",2025-10-08T06:59:25.992Z
392,"840/30/5 Hương lộ 2, Bình Trị Đông A, Bình Tân, Hồ Chí Minh","840/30/5 Hương lộ 2, Bình Trị Đông A, Bình Tân, Thành phố Hồ Chí Minh",5500000000,sale,other,3.99,14.7,143.9,58.4,3,3,3,certificate,other,"840/30/5 HL2, BTĐA Bán nhà Đường Hương Lộ 2, P.Bình Trị Đông Q.Bình Tân - Gồm: 1 trệt 2 lầu. - Gồm: 3pn, 3wc - Nhà đẹp hẻm 6m xe hơi nằm trong nhà, Nhà nằm kế bệnh viện Bình Tân, trường Học, ủy ban phường Giá: 5tỷ5 ( TL)",2025-10-08T06:49:55.129Z
393,"465/18/88 Đường Nguyễn Văn Công, 3, Gò Vấp, Hồ Chí Minh","465/18/88 Đường Nguyễn Văn Công, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",5100000000,sale,other,3.73,13.42,0,44.62,2,3,3,certificate,other,"NHÀ HIẾM NGUYỄN VĂN CÔNG - 2 TẦNG ĐẸP - NGAY TRUNG TÂM - GẦN SÂN BAY TÂN SƠN NHẤT 465/18/88 Nguyễn Văn Công (số cũ 123.951A Nguyễn Kiệm) Phường 3 Q Gò Vấp. + DT: 3.7x15, dt sử dụng 45 + Kết cấu: 1 trệt 1 lầu BTCT, 3PN, bếp, phòng khách rộng rãi. + Hẻm sạch sẽ an ninh. + Vị trí ngay sân bay Tân Sơn Nhất VIP của Gò Vấp. + giá bán 5.1 tỷ TL",2025-10-08T04:55:48.446Z
394,"466/26 Đường Nguyễn Văn Công, 3, Gò Vấp, Hồ Chí Minh","466/26 Đường Nguyễn Văn Công, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",5200000000,sale,other,4.03,8.41,72.4,33.6,3,3,3,certificate,other,"XEM NHÀ SAU 18H30 TỐI MỖI NGÀY SIÊU PHẨM NHÀ ĐẸP, GẦN MT ĐƯỜNG, SỔ ĐẸP, 35M2, 3 TẦNG, 3 PHÒNG NGỦ, NGAY TRUNG TÂM P3 GÒ VẤP 466/26 NGUYỄN VĂN CÔNG Phường 3 Gò Vấp Hẻm trước nhà 2m, cách 50m ra mặt tiền đường. Kết cấu: 1 trệt, 2lầu, 3PN, 3WC, ban công, sân thượng. Công năng: Mua ở hoặc đầu tư cho thuê. Pháp lý: Sổ hồng riêng Giá 5.2 tỷ TL.",2025-10-08T04:40:42.688Z
395,"107/37/36 Ni Sư Huỳnh Liên, 10, Tân Bình, Hồ Chí Minh","107/37/36 Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Thành phố Hồ Chí Minh",2500000000,sale,alley_house,2.7,5.52,28.34,14.17,2,3,2,certificate,other,"Nhà bán tại 107/37/36 Ni Sư Huỳnh Liên, P.10, Q.Tân Bình, TP.HCM Diện tích 14,17m2 Kích thước: 2,7m x 5.52m Hiện trạng: 1 trệt 2 lầu (Lầu 2 chưa hiện thông tin trên sổ) Gồm 2 phòng ngủ (có ban công), 3 toilet Giá bán: 2,5 tỷ thương lượng",2025-10-08T04:31:28.958Z
396,"110/20/22 Đường số 30, 6, Gò Vấp, Hồ Chí Minh","110/20/22 Đường số 30, Phường 6, Gò Vấp, Thành phố Hồ Chí Minh",14900000000,sale,other,4.2,15.38,274.5,64.4,5,7,5,certificate,other,"Vị trí: 110/20/22 Đường Số 30 - phường 6 - Gò Vấp Xây dựng: 1 trệt lửng 4 lầu. Công năng: Gara xe hơi, phòng khách, bếp, 5 phòng ngủ, 7 toilet, phòng thư giãn, phòng giặt, phòng thờ, sân thượng trước sau. Vị trí đẹp, Khu đồng bộ, đường thông, xe hơi ngủ trong nhà. Ngay gần chợ An Nhơn. Về sân bay chỉ 5-10 phút. Hướng Bắc. SHR - Nhà xây mới, hoàn công đầy đủ. Tặng full nội thất cao cấp - Trang bị sẵn thang máy 450 kg lên kịch nóc Giá 14 tỷ 9 TL",2025-10-07T10:52:24.664Z
397,"606/163 Đương 3 Tháng 2, 14, 10, Hồ Chí Minh","606/163 Đương 3 Tháng 2, Phường 14, Quận 10, Thành phố Hồ Chí Minh",9000000000,sale,other,3.5,14.5,0,50.75,2,2,3,certificate,other,"Bán nhà hẻm 606 đường 3/2, phường 14, Quận 10 - Diện tích đất: 3.5 x 14.5m (50,75m²) - Kết cấu: Nhà cấp 4, 1 trệt 1 lầu - Gồm: 3 phòng ngủ, 2 WC, phòng khách, bếp rộng rãi - Hướng: Đông, thoáng mát, phong thủy tốt Gần chợ Nguyễn Tri Phương – thuận tiện mua sắm, sinh hoạt. Cạnh bệnh viện 115 – khu vực dân trí cao, an ninh tốt. Gần nhà thi đấu Phú Thọ, trường học, siêu thị, trung tâm thương mại. Hẻm rộng, sạch sẽ, xe ra vào thuận tiện. Gía 9 tỷ TL",2025-10-07T10:26:45.334Z
398,"110/20/46 Đường số 30, 6, Gò Vấp, Hồ Chí Minh","110/20/46 Đường số 30, Phường 6, Gò Vấp, Thành phố Hồ Chí Minh",13400000000,sale,other,4.2,15.3,268.4,61.9,5,5,4,certificate,other,"Vị trí: 110/20/46 Đường số 30, P6, Gót Vấp Kết cấu: 1 Trệt Lửng 4 lầu. Nhà xây mới, hoàn công đầy đủ. Công năng: Thang máy, gara xe hơi, phòng khách, phòng bếp, 4 phòng ngủ, phòng karaoke, phòng thờ, sân thượng trước sau Tặng full nội thất cao cấp như hình Hướng Đông Bắc Đường 10m thông xe hơi đậu đáp hay ngủ trong nhà thoải mái . Gần chợ an nhơn di chuyển trung tâm bình thạnh Q1 sân bay rất gần Giá: 13Tỷ400Tr còn thương lượng",2025-10-07T10:03:45.547Z
399,"92DTrần Đại Nghĩa, Tân Tạo A, Bình Tân, Hồ Chí Minh","92DTrần Đại Nghĩa, Tân Tạo A, Bình Tân, Thành phố Hồ Chí Minh",11300000000,sale,other,4,16.8,237.2,77.2,5,11,11,certificate,other,"Bán nhà tại 92D Trần Đại Nghĩa, P.Tân Tạo A, Q.Bình Tân, TP.HCM Nhà cách quốc lộ 1 A vòng xoay An Lạc 300m, cách đại lộ Đông Tây 500m Lượng dân cư đông đúc phù hợp kinh doanh Kết cấu: Trệt + lững + 2 lầu + sân thượng Diện tích: 77.2m2 Giá bán: giá 11 tỷ 3 có thương lượng",2025-10-07T10:01:14.283Z
400,"165 Trần Văn Kiểu, 10, 6, Hồ Chí Minh","165 Trần Văn Kiểu, Phường 10, Quận 6, Thành phố Hồ Chí Minh",13700000000,sale,other,4,17.5,177.5,70,3,3,3,certificate,other,"Bán nhà tại 165 Trần Văn Kiểu, P.10, Q.6, TP.HCM Đối diện chung cư Asian Capella ( luợng dân cư đông thuận lợi cho kinh doanh ) 200 mét ra Mega market bình Phú , gần ngã tư Trần văn kiểu lý chiêu hoàng Diện tích: 70m2 Giá 13 tỷ 7 có thương lượng",2025-10-07T09:53:47.391Z
401,"276/31/12A Đường Thống Nhất, 16, Gò Vấp, Hồ Chí Minh","276/31/12A Đường Thống Nhất, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh",36500000000,sale,other,8,27.5,643.4,219,5,31,31,certificate,other,CĂN HỘ DV 31 PHÒNG. HIỆN TẠI ĐANG CHO THUÊ KHOÁN 160 TRIỆU / THÁNG Vị Trí : 276/31/12A Thống nhất - P.16 - Gò Vấp - HCM Hướng : Bắc Kết cấu : 1 trệt 1 lửng 3 lầu với 31 phòng khai thác full đầy đủ hệ thống thang máy hầm để xe phòng cháy chữa cháy đầy đủ Pháp lý : Sổ hồng riêng Nội thất bàn giao : Full option Giá 36.5 tỷ TL,2025-10-07T09:38:15.011Z
402,"113/6/11 Lê Văn Chí, Linh Trung, Thủ Đức, Hồ Chí Minh","113/6/11 Lê Văn Chí, Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh",5300000000,sale,alley_house,18.58,3.93,94.1,55.2,2,2,1,certificate,other,"Bán nhà chính chủ tại đường Lê Văn Chí, phường Linh Trung (Quận Thủ Đức cũ), TP Thủ Đức. Diện tích: 55m2 Nhà cấp 4, hẻm xe hơi, gồm 1 trệt, 1 lầu và 1 sân thượng. Vị trí gần chợ, trường học, bệnh viện, Vincom và nhiều tiện ích xung quanh, rất thuận tiện cho sinh hoạt. Giá bán: 5.3 tỷ - không thương lượng",2025-10-07T09:20:20.093Z
403,"86/5 Đường Số 27, 6, Gò Vấp, Hồ Chí Minh","86/5 Đường Số 27, Phường 6, Gò Vấp, Thành phố Hồ Chí Minh",44000000000,sale,other,12,25,0,325.5,6,41,41,certificate,other,"Tòa nhà CHDV 3 mặt Hẻm ôtô 86/5 Đường số 27, Gò Vấp, ngay Chợ An Nhơn. - 41 PHÒNG - 6 TẦNG - THANG MÁY - FULL NỘI THẤT XỊN - DÒNG TIỀN 2.4 TỶ/ NĂM - HỆ THỐNG CHỮA CHÁY ĐẦY ĐỦ - SỔ SẴN - HOÀN CÔNG Diện tích: 326M²(12x25) Nở hậu Kết cấu : 6 tầng sân thượng, 41 phòng khép kín(Full phòng) Trang bị đầy đủ hệ thống PCCC, thang máy, full nội thất, đồng hồ điện tử, cửa Smartkey, Tivi, tủ lạnh, dọn vào ở ngay.",2025-10-07T09:03:35.647Z
404,"7 An Hội, 15, Gò Vấp, Hồ Chí Minh","7 An Hội, Phường 15, Gò Vấp, Thành phố Hồ Chí Minh",15500000000,sale,other,8.23,16.3,216.2,114.3,5,4,4,certificate,other,"CĂN VILLA GÓC 2 MẶT TIỀN VIP Mặt tiền 7 An Hội, An Hội Đông(P15) Gò Vấp. Gần công viên làng hoa, chợ hạnh thông tây, trường học…! Sân gara để Ô TÔ , vui chơi giải trí Kết cấu: Trệt + lửng + 2 lầu Sân thượng, Nhà kiên cố, thiết kế thông thoáng, tận dụng tối đa diện tích sử dụng Căn góc Đường 2 bên, mỗi Bên cực rộng , xe hơi tránh nhau thoải mái, vị trí cực kỳ đắc địa. Giá : 15,5 tỷ .",2025-10-07T08:51:00.161Z
405,"460/54 Nguyễn Tất Thành, 18, 4, Hồ Chí Minh","460/54 Nguyễn Tất Thành, Phường 18, Quận 4, Thành phố Hồ Chí Minh",4500000000,sale,alley_house,4.26,11.46,0,49.3,1,1,1,certificate,other,"Bán đất tại 460/54 Nguyễn Tất Thành, Phường 18, Quận 4 Diện tích 49,3m2 Hiện trạng trên đất: Có một căn nhà cấp 4, do nằm trong khu quy hoạch gần 20 năm nên nhà không được công nhận trên sổ Gồm 1 phòng ngủ, 1 vệ sinh Giá bán: 4,5 tỷ TL",2025-10-07T08:48:20.836Z
406,"101/22 đường số 9, khu phố 12, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","101/22 đường số 9, khu phố 12, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",4400000000,sale,alley_house,4,10.69,81.6,42.9,2,2,2,certificate,other,"Bán nhà tại 101/22 đường số 9, khu phố 12, P.Bình Hưng Hòa, Q.Bình Tân, TP.HCM Diện tích: 42,9m2 (4m x 10,69m) Đường trước nhà rộng, ô tô vào tận nơi Nhà cấp 3, gồm 2 tầng, 2 phòng Giá bán: 4 tỷ 400 triệu VNĐ (có thương lượng)",2025-10-07T08:32:16.822Z
407,"308 Cộng Hòa, 13, Tân Bình, Hồ Chí Minh","308 Cộng Hòa, Phường 13, Tân Bình, Thành phố Hồ Chí Minh",49000000000,sale,other,4.6,39.35,1066.4,181,8,14,32,certificate,furnished,"Bán nhà mặt tiền 308 Cộng Hòa, Phường 13, Quận Tân Bình diện tích 181m2 (4.6 x 39.35) - vuông vức Kết cấu: 1 hầm, 1 lửng, 6 lầu, tổng cộng 14 toilet Nhà đã có sổ hồng, nội thất đầy đủ Đang cho thuê văn phòng 200tr/tháng Giá bán: 49 tỷ",2025-10-07T08:26:40.530Z
408,"81 Xuân Hồng, 12, Tân Bình, Hồ Chí Minh","81 Xuân Hồng, Phường 12, Tân Bình, Thành phố Hồ Chí Minh",25500000000,sale,other,4,18.5,339.2,73.2,5,6,6,certificate,other,"Bán nhà 81 Xuân Hồng, Phường 12, Quận Tân Bình Diện tích 73m2 Vị trí đắc địa, đối diện Trung Tâm TDTT Tân Bình, khu vực sầm uất, thuận tiện để ở, kinh doanh hoặc làm căn hộ dịch vụ. Gần chợ, bệnh viện, trường học, đầy đủ tiện ích xung quanh. Nhà nằm sát ga Bảy Hiền - Nguyễn Hồng Đào của tuyến metro số 2, dự kiến hoàn thành năm 2030. Kết cấu: 1 trệt, 3 lầu, 1 sân thượng, gồm 6 phòng ngủ, 6WC. Giá bán: 25,5 tỷ TL",2025-10-07T08:20:45.031Z
409,"61/35 BÌnh Giã, 13, Tân Bình, Hồ Chí Minh","61/35 BÌnh Giã, Phường 13, Tân Bình, Thành phố Hồ Chí Minh",14500000000,sale,alley_house,5,14.65,230.5,73.2,3,2,2,certificate,partially_furnished,"Nhà phố hẻm cần bán tại địa chỉ 61/35 Bình Giã, phường 13, quận Tân Bình, TP. Hồ Chí Minh. Diện tích: 73.2m² Kết cấu 1 trệt 2 lầu Vị trí: Cách mặt tiền Bình Gĩa 30m, Cách Cộng Hòa 100m Gần Chợ Hoàng Hoa Thám, Xung quanh tiện ích đầy đủ không thiếu thứ gì Giá bán: 14,5 tỷ VNĐ TL",2025-10-07T08:16:42.919Z
410,"17/22C đường số 2, khu phố 22, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","17/22C đường số 2, khu phố 22, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh",8900000000,sale,other,7.92,13,89.7,103.4,1,1,1,certificate,other,"Bán nhà tại 17/22C đường số 2, khu phố 22, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM - Diện tích: 103.4m2 - Hiện trạng: 1 trệt + 1 gác (Gác chưa thấy thông tin trên sổ) - Nhà trống, trước đây cho thuê xưởng nên không ngăn phòng, có thể cải tạo lại - Đã có sổ hồng - Giá bán: 8,9 tỷ TL",2025-10-07T08:03:39.583Z
411,"15 Đường 546, Phước Long A, 9, Hồ Chí Minh","15 Đường 546, Phước Long A, Quận 9, Thành phố Hồ Chí Minh",5000000000,sale,alley_house,3.3,13.12,36.9,36.8,2,1,1,certificate,other,"Bán nhà 15 đường 546, Phước Long A, Q.9, TP.Hồ Chí Minh - Diện tích: 36.8 m2 - Kích thước: 3.3 x 13.12 nở hậu 3,7m - Kết cấu: trệt + gác lửng - Nhà gần trường cấp 1,2.3 cao học, gần bệnh viện, ... - Giá bán: 5 Tỷ TL",2025-10-07T07:42:10.455Z
412,"26/9 Kênh Nước Đen, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","26/9 Kênh Nước Đen, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh",4200000000,sale,alley_house,3.03,11.13,30.1,33.2,1,2,2,certificate,other,"Bán nhà tại 26/9 Kênh Nước Đen, P.Bình Hưng Hoà A, Q.Bình Tân, TP.HCM Diện tích: 33,2m2, đã có sổ hồng. Kết cấu: 1 trệt, 2 phòng ngủ, 2 vệ sinh (trước đây có lững nhưng hiện tại không còn) Vị trí thuận tiện, kế bên công viên, gần trường học. Giá bán: 4,2 tỷ TL",2025-10-07T07:24:52.441Z
413,"Ấp 5, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh","Ấp 5, Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, Hồ Chí Minh",7500000000,sale,land,9.9,15.93,0,157.9,1,1,1,certificate,other,"Chính chủ cần bán đất thổ cư Ấp 5, Huỳnh Tấn Phát, Xã Phú Xuân, H.Nhà Bè, - Diện tích: 157.9m2 - Kích thước: 16m x 10m - Đường trước nhà rộng, ô tô ra vào thoải mái - Giá bán: 7,5 tỷ (có thương lượng)",2025-10-07T07:04:53.324Z
414,"21/12 Đường số 35, khu phố 7, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh","21/12 Đường số 35, khu phố 7, Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",4250000000,sale,other,5.34,9.68,58.4,47.5,2,1,2,certificate,other,"Bán nhà tại 21/12 Đường số 35, khu phố 7, P.Hiệp Bình Chánh, Thành phố Thủ Đức, TP.HCM Diện tích: 47.5m2 Kết cấu: 1 trệt, 1 lửng, nhà thoáng mát Khu dân cư an ninh, giao thông thuận tiện, gần chợ Hiệp Bình, dễ dàng di chuyển ra đại lộ Phạm Văn Đồng Nhà đã có sổ hồng Giá bán: 4,25 tỷ TL",2025-10-07T04:16:08.742Z
415,"Hẻm 438 Đào Sư Tích, Phước Lộc, Nhà Bè, Hồ Chí Minh","Hẻm 438 Đào Sư Tích, Phước Lộc, Nhà Bè, Thành phố Hồ Chí Minh",5000000000,sale,alley_house,5.8,14.79,0,89.1,1,1,1,certificate,other,"Chính chủ cần đất tại Hẻm 438 Đào Sư Tích, Xã Phước Lộc, H.Nhà Bè, TP.HCM – Diện tích: 89.1m2 (Đất ở: 83.6m2; đất trông cây lâu năm: 5.5m2) – Loại đất: Thổ cư , hẻm xe hơi thoáng – Giá bán: 5 tỷ VNĐ (có thương lượng)",2025-10-07T02:57:46.511Z
